id;exercise_name;body_part;equipment;target;location;style;difficulty;duration_type;default_sets;default_reps;desc;movement_pattern;duration_unit
50;band close-grip pulldown;back;band;lats;both;strength_training;intermediate;reps;3;10;;vertical_pull;reps
51;band close-grip push-up;upper arms;band;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
52;band concentration curl;upper arms;band;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
53;band fixed back close grip pulldown;back;band;lats;both;strength_training;intermediate;reps;3;10;;vertical_pull;reps
54;band fixed back underhand pulldown;back;band;lats;both;strength_training;intermediate;reps;3;10;;vertical_pull;reps
55;band front lateral raise;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
56;band front raise;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
57;band hip lift;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
58;band horizontal pallof press;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
59;band jack knife sit-up;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
60;band kneeling one arm pulldown;back;band;lats;both;strength_training;advanced;reps;3;10;;vertical_pull;reps
61;band kneeling twisting crunch;waist;band;abs;both;strength_training;beginner;reps;3;10;;core;reps
62;band lying hip internal rotation;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
63;band lying straight leg raise;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
64;band one arm overhead biceps curl;upper arms;band;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
65;band one arm single leg split squat;upper legs;band;quads;both;strength_training;advanced;reps;3;10;;squat;reps
66;band one arm standing low row;back;band;upper back;both;strength_training;advanced;reps;3;10;;horizontal_pull;reps
67;band one arm twisting chest press;chest;band;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
68;band one arm twisting seated row;back;band;upper back;both;strength_training;advanced;reps;3;10;;horizontal_pull;reps
69;band pull through;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
70;band push sit-up;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
71;band reverse fly;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
72;band reverse wrist curl;lower arms;band;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
73;band seated hip internal rotation;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
74;band seated twist;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
75;band shoulder press;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
76;band shrug;back;band;traps;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
77;band side triceps extension;upper arms;band;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
78;band single leg calf raise;lower legs;band;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
79;band single leg reverse calf raise;lower legs;band;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
80;band single leg split squat;upper legs;band;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
81;band squat;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
82;band squat row;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
83;band standing crunch;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
84;band standing rear delt row;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
85;band standing twisting crunch;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
86;band step-up;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
87;band stiff leg deadlift;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
88;band straight back stiff leg deadlift;upper legs;band;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
89;band straight leg deadlift;back;band;spine;both;strength_training;intermediate;reps;3;10;;hinge;reps
90;band twisting overhead press;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
92;band underhand pulldown;back;band;lats;both;strength_training;intermediate;reps;3;10;;vertical_pull;reps
93;band v-up;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
94;band vertical pallof press;waist;band;abs;both;strength_training;intermediate;reps;3;10;;core;reps
95;band wrist curl;lower arms;band;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
96;band y-raise;shoulders;band;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
97;barbell alternate biceps curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
98;barbell bench front squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
99;barbell bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
100;barbell bench squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
101;barbell bent arm pullover;back;barbell;lats;both;strength_training;intermediate;reps;3;10;;isolation_lats;reps
102;barbell bent over row;back;barbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
103;barbell biceps curl (with arm blaster);upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
104;barbell clean and press;upper legs;barbell;quads;both;crossfit, strength_training;advanced;reps;3;10;;compound;reps
105;barbell clean-grip front squat;upper legs;barbell;glutes;both;crossfit, strength_training;advanced;reps;3;10;;squat;reps
106;barbell close-grip bench press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
107;barbell curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
108;barbell deadlift;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
109;barbell decline bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
110;barbell decline bent arm pullover;back;barbell;lats;both;strength_training;intermediate;reps;3;10;;isolation_lats;reps
111;barbell decline close grip to skull press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
112;barbell decline pullover;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
113;barbell decline wide-grip press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
114;barbell decline wide-grip pullover;back;barbell;lats;both;strength_training;intermediate;reps;3;10;;isolation_lats;reps
115;barbell drag curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
116;barbell floor calf raise;lower legs;barbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
117;barbell front chest squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
118;barbell front raise;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
119;barbell front raise and pullover;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
120;barbell front squat;upper legs;barbell;glutes;both;strength_training;advanced;reps;3;10;;squat;reps
121;barbell full squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
122;barbell full squat (back pov);upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
123;barbell full squat (side pov);upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
124;barbell full zercher squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
125;barbell glute bridge;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
126;barbell glute bridge two legs on bench (male);upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
127;barbell good morning;upper legs;barbell;hamstrings;both;strength_training;intermediate;reps;3;10;;hinge;reps
128;barbell guillotine bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
129;barbell hack squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
130;barbell high bar squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
131;barbell incline bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
132;barbell incline close grip bench press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
133;barbell incline reverse-grip press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
134;barbell incline row;back;barbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
135;barbell incline shoulder raise;shoulders;barbell;serratus anterior;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
136;barbell jefferson squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
137;barbell jm bench press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
138;barbell jump squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
139;barbell lateral lunge;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
140;barbell low bar squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
141;barbell lunge;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
142;barbell lying back of the head tricep extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
143;barbell lying close-grip press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
144;barbell lying close-grip triceps extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
145;barbell lying extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
146;barbell lying lifting (on hip);upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
147;barbell lying preacher curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
148;barbell lying triceps extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
149;barbell lying triceps extension skull crusher;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
150;barbell narrow stance squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
151;barbell one arm bent over row;back;barbell;upper back;both;strength_training;advanced;reps;3;10;;horizontal_pull;reps
152;barbell one arm floor press;upper arms;barbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
153;barbell one arm side deadlift;upper legs;barbell;glutes;both;strength_training;advanced;reps;3;10;;hinge;reps
154;barbell one arm snatch;shoulders;barbell;delts;both;crossfit, strength_training;advanced;reps;3;10;;hinge;reps
155;barbell one leg squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
156;barbell overhead squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
157;barbell palms down wrist curl over a bench;lower arms;barbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
158;barbell palms up wrist curl over a bench;lower arms;barbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
159;barbell pendlay row;back;barbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
160;barbell pin presses;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
161;barbell preacher curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
162;barbell press sit-up;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
163;barbell prone incline curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
164;barbell pullover;back;barbell;lats;both;strength_training;intermediate;reps;3;10;;isolation_lats;reps
165;barbell pullover to press;back;barbell;lats;both;strength_training;intermediate;reps;3;10;;isolation_lats;reps
166;barbell rack pull;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
167;barbell rear delt raise;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
168;barbell rear delt row;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
169;barbell rear lunge;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
172;barbell reverse close-grip bench press;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
173;barbell reverse curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
174;barbell reverse grip bent over row;back;barbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
175;barbell reverse grip decline bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
176;barbell reverse grip incline bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
177;barbell reverse grip incline bench row;back;barbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
178;barbell reverse grip skullcrusher;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
179;barbell reverse preacher curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
180;barbell reverse wrist curl;lower arms;barbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
181;barbell rollerout;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
182;barbell rollerout from bench;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
183;barbell romanian deadlift;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
185;barbell seated bradford rocky press;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
186;barbell seated calf raise;lower legs;barbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
188;barbell seated close grip behind neck triceps extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
189;barbell seated close-grip concentration curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
191;barbell seated overhead press;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
192;barbell seated overhead triceps extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
193;barbell seated twist;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
194;barbell shrug;back;barbell;traps;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
196;barbell side split squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
198;barbell single leg deadlift;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
199;barbell single leg split squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
200;barbell sitted alternate leg raise;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
201;barbell sitted alternate leg raise (female);waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
202;barbell skier;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
203;barbell speed squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
205;barbell squat (on knees);upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
206;barbell squat jump step rear lunge;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
207;barbell standing ab rollerout;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
208;barbell standing back wrist curl;lower arms;barbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
209;barbell standing bradford press;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
210;barbell standing calf raise;lower legs;barbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
211;barbell standing close grip curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
212;barbell standing close grip military press;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
213;barbell standing concentration curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
214;barbell standing front raise over head;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
215;barbell standing leg calf raise;lower legs;barbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
216;barbell standing overhead triceps extension;upper arms;barbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
217;barbell standing reverse grip curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
218;barbell standing rocking leg calf raise;lower legs;barbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
219;barbell standing twist;waist;barbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
220;barbell standing wide grip biceps curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
221;barbell standing wide military press;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
222;barbell standing wide-grip curl;upper arms;barbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
223;barbell step-up;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
224;barbell stiff leg good morning;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
225;barbell straight leg deadlift;upper legs;barbell;hamstrings;both;strength_training;intermediate;reps;3;10;;hinge;reps
226;barbell sumo deadlift;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
227;barbell thruster;shoulders;barbell;delts;both;crossfit, strength_training;advanced;reps;3;10;;vertical_push;reps
231;barbell wide bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
232;barbell wide reverse grip bench press;chest;barbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
233;barbell wide squat;upper legs;barbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
234;barbell wide-grip upright row;shoulders;barbell;delts;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
235;barbell wrist curl;lower arms;barbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
237;barbell zercher squat;upper legs;barbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
238;basic toe touch (male);upper legs;body weight;glutes;both;calisthenics;intermediate;reps;3;12;;glute_isolation;reps
239;battling ropes;shoulders;rope;delts;both;calisthenics;intermediate;reps;3;12;;isolation_shoulders;reps
240;bear crawl;full body;body weight;cardiovascular system;both;cardio, calisthenics;beginner;time;1;50;;cardio;minutes
241;behind head chest stretch;chest;assisted;pectorals;both;mobility_flexibility;beginner;time;2;30;;flexibility;seconds
242;bench dip (knees bent);upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
243;bench dip on floor;upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
244;bench hip extension;upper legs;body weight;glutes;both;calisthenics;intermediate;reps;3;12;;glute_isolation;reps
245;bench pull-ups;back;body weight;lats;both;calisthenics;intermediate;reps;3;12;;isolation_lats;reps
246;bent knee lying twist (male);upper legs;body weight;glutes;both;calisthenics;intermediate;reps;3;12;;glute_isolation;reps
247;biceps leg concentration curl;upper arms;body weight;biceps;both;calisthenics;intermediate;reps;3;12;;isolation_biceps;reps
248;biceps narrow pull-ups;upper arms;body weight;biceps;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
249;biceps pull-up;upper arms;body weight;biceps;both;calisthenics;intermediate;reps;3;12;;isolation_biceps;reps
250;body-up;upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
251;bodyweight drop jump squat;upper legs;body weight;glutes;both;hiit, calisthenics;intermediate;time;8;20;;cardio;seconds
252;bodyweight incline side plank;waist;body weight;abs;both;calisthenics;beginner;time;1;30;;core;reps
253;bodyweight kneeling triceps extension;upper arms;body weight;triceps;both;calisthenics;beginner;reps;3;12;;isolation_triceps;reps
254;bodyweight side lying biceps curl;upper arms;body weight;biceps;both;calisthenics;intermediate;reps;3;12;;isolation_biceps;reps
255;bodyweight squatting row;back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
256;bodyweight squatting row (with towel);back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
257;bodyweight standing calf raise;lower legs;body weight;calves;both;calisthenics;intermediate;reps;3;12;;isolation_calves;reps
258;bodyweight standing close-grip one arm row;back;body weight;upper back;both;calisthenics;advanced;reps;3;12;;horizontal_pull;reps
259;bodyweight standing close-grip row;back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
260;bodyweight standing one arm row;back;body weight;upper back;both;calisthenics;advanced;reps;3;12;;horizontal_pull;reps
261;bodyweight standing one arm row (with towel);back;body weight;upper back;both;calisthenics;advanced;reps;3;12;;horizontal_pull;reps
262;bodyweight standing row;back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
263;bodyweight standing row (with towel);back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;horizontal_pull;reps
264;bottoms-up;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
265;box jump down with one leg stabilization;lower legs;body weight;calves;both;hiit, crossfit, strength_training, calisthenics;intermediate;time;8;20;;cardio;seconds
266;bridge - mountain climber (cross body);waist;body weight;abs;both;hiit, calisthenics;intermediate;time;8;20;;cardio;seconds
267;burpee;full body;body weight;cardiovascular system;both;hiit, cardio, calisthenics;intermediate;time;8;20;;cardio;seconds
268;butt-ups;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
269;butterfly yoga pose;upper legs;body weight;adductors;both;yoga, mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
270;cable alternate shoulder press;shoulders;cable;delts;gym;strength_training;intermediate;reps;3;10;;vertical_push;reps
271;cable alternate triceps extension;upper arms;cable;triceps;gym;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
272;cable assisted inverse leg curl;upper legs;cable;hamstrings;gym;strength_training;intermediate;reps;3;10;;isolation_hamstrings;reps
273;cable bar lateral pulldown;back;cable;lats;gym;strength_training;intermediate;reps;3;10;;vertical_pull;reps
